branch,raw_rows,retained_rows,duplicates_removed,dropped_features,imputed_features
Network,284429,250204,34225,mean_jitter (42.1%); flag_syn (88.1%); flag_ack (55.6%); protocol_type (57.8%),flow_duration (29.5%); rx_bytes (0.0%); packet_rate (16.8%); byte_rate (0.0%); mean_packet_size (0.5%); mean_delay (4.1%); lost_packets (7.9%); ttl_or_hops (17.2%)
Physical,12516,11946,570,accel_x (51.5%); accel_y (51.5%); accel_z (51.5%),None
